127.0.0.1 - - [03/Dec/2021:21:53:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%EA%B0%90%EB%B0%94%EC%8A%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%EC%83%88%EC%9A%B0%EC%99%84%EC%9E%90%ED%83%95.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%EC%9C%A0%EC%82%B0%EC%8A%AC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%EB%A7%88%EB%9D%BC%EC%83%B9%EA%B6%88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%EB%B0%80%ED%91%80%EC%9C%A0%EB%82%98%EB%B2%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/js/mealkit/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:11 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34246
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:41 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34246
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34246
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/bootstrap.min.css HTTP/1.1" 200 154250
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/templatemo.css HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/mystyle.css HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/style.css HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/fontawesome.min.css HTTP/1.1" 200 59356
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/css/custom.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
